id,label,code
e932b7e8-24f8-404c-aee3-6d8a0b4a19a4,Other and unspecified syphilis,A53
23e0e4ee-6f96-4dbd-af83-7c087b7c3215,"Latent syphilis, unspecified as early or late",A530
44b63c9f-8958-4e93-b1be-f20a3bd49477,"Syphilis, unspecified",A539
41f1fb69-374b-4c3f-bf8e-c673774c5c23,Gonococcal infection,A54
58924876-2645-4075-b97b-6d9fbc6add46,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A540
092dbea7-a2c4-4b4b-9510-16a1529c023a,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A541
3d36739b-7c28-43f4-8947-f5f63d18d54b,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,A542
ff8896b6-bdab-45f4-9c0c-8bb0e839d0c4,Gonococcal infection of eye,A543
080b0b71-1564-4007-978a-591804e524f8,Gonococcal infection of musculoskeletal system,A544
e5f68d9f-de9c-4582-9436-b0d3265d4fcc,Gonococcal pharyngitis,A545
c93dae14-cc73-4606-a2e6-6b17d0d86813,Gonococcal infection of anus and rectum,A546
49e2d382-b717-435f-ba9a-c4a16bc4d166,Other gonococcal infections,A548
52a5489f-3f05-4d5f-9cf2-cc3f23bfa8f5,"Gonococcal infection, unspecified",A549
abe10baa-e398-41da-b591-a7ac01acfc53,Chlamydial lymphogranuloma (venereum),A55
148c62c7-8c7b-4ea6-8bf1-22984c710811,Other sexually transmitted chlamydial diseases,A56
a19f8150-0fcf-4d6e-a45c-eff955e45cd0,Chlamydial infection of lower genitourinary tract,A560
f0d069df-1eb5-4979-9661-0d2fc278c688,Chlamydial infection of pelviperitoneum and other genitourinary organs,A561
bf0472b1-9641-4e9d-97c5-66adc5c0d713,"Chlamydial infection of genitourinary tract, unspecified",A562
f08cd866-1987-47d5-ae1c-c5e3a45c86b0,Chlamydial infection of anus and rectum,A563
f0aa20d1-b80c-4870-b079-80f12bda676d,Chlamydial infection of pharynx,A564
ca4e2398-a126-4031-900b-c48c48a5c2e3,Sexually transmitted chlamydial infection of other sites,A568
e24d49b3-a13d-4e4f-a99a-53e47a99c180,Chancroid,A57
385550bb-1dc1-41f3-b435-22d3de657383,Granuloma inguinale,A58
